Name,Team,billikenTeam,contract,salary,point_value,repl,par,PA,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,ev,surplus
JoJo Romero,STL,Louisville Sluggers,2,1,2.7,1.6,1.1,NA,NA,NA,NA,NA,NA,64,5,14,62,3.49,1.29,0,0,0,0,0,0,0,0,8.3,7.3
Jared Triolo,PIT,Louisville Sluggers,2,1,4.3,3.3,1,553,9,62,51,15,0.245,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,1,1,8,7
Jordan Walker,STL,NA,NA,NA,4.3,3.3,1,546,15,56,60,10,0.238,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,8,NA
Patrick Bailey,SFG,Free At Last,2,6,2.9,1.9,1,525,11,53,53,3,0.228,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,8,2
Sandy Alcantara,MIA,Big Red Machine,2,18,2.6,1.6,1,NA,NA,NA,NA,NA,NA,188,11,0,156,4.08,1.26,0,0,0,0,0,0,0,0,8,-10
Nick Lodolo,CIN,NA,NA,NA,2.6,1.6,1,NA,NA,NA,NA,NA,NA,151,9,0,154,4.13,1.2,0,0,0,0,0,0,0,0,8,NA
Jake Cronenworth,SDP,Hoosiers,2,12,4.2,3.3,0.9000000000000004,630,15,70,65,4,0.234,NA,NA,NA,NA,NA,NA,0,1,1,0,1,0,1,1,7.7,-4.3
Brady House,WSN,Westside Marauders,2,1,4.2,3.3,0.9000000000000004,525,14,55,61,5,0.245,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,7.7,6.7
Carson Kelly,CHC,Westside Marauders,2,1,2.8,1.9,0.8999999999999999,380,12,43,44,2,0.233,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,7.7,6.7
Eury Perez,MIA,Blue Socks,Opt,1,2.5,1.6,0.8999999999999999,NA,NA,NA,NA,NA,NA,135,8,0,145,4.04,1.21,0,0,0,0,0,0,0,0,7.7,6.7
Nolan McLean,NYM,Hoosiers,2,1,2.5,1.6,0.8999999999999999,NA,NA,NA,NA,NA,NA,145,10,0,140,3.82,1.29,0,0,0,0,0,0,0,0,7.7,6.7
Edward Cabrera,CHC,Hoosiers,2,2,2.5,1.6,0.8999999999999999,NA,NA,NA,NA,NA,NA,137,9,0,146,3.92,1.25,0,0,0,0,0,0,0,0,7.7,5.7
Jacob Misiorowski,MIL,Melonheads,2,1,2.5,1.6,0.8999999999999999,NA,NA,NA,NA,NA,NA,138,9,0,159,3.97,1.28,0,0,0,0,0,0,0,0,7.7,6.7
Robert Suarez,ATL,Big Red Machine,Opt,9,2.5,1.6,0.8999999999999999,NA,NA,NA,NA,NA,NA,67,5,8,70,3.56,1.19,0,0,0,0,0,0,0,0,7.7,-1.3
Max Muncy,LAD,Free Birds,Opt,19,4.1,3.3,0.7999999999999998,455,21,60,62,3,0.22,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,7.4,-11.6
Spencer Schwellenbach,ATL,National Pastime,Opt,1,2.4,1.6,0.7999999999999998,NA,NA,NA,NA,NA,NA,89,6,0,87,3.52,1.13,0,0,0,0,0,0,0,0,7.4,6.4
Riley O'Brien,STL,NA,NA,NA,2.4,1.6,0.7999999999999998,NA,NA,NA,NA,NA,NA,63,3,16,65,3.71,1.32,0,0,0,0,0,0,0,0,7.4,NA
Jake McCarthy,COL,Erie Lakers,2,1,4,3.3,0.7000000000000002,357,6,44,37,14,0.275,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,7.1,6.1
Gavin Sheets,SDP,Free At Last,2,1,4,3.3,0.7000000000000002,518,17,52,63,2,0.24,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,7.1,6.1
Sean Murphy,ATL,Big Red Machine,2,12,2.6,1.9,0.7000000000000002,348,15,39,43,0,0.221,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,7.1,-4.9
Brandon Pfaadt,ARI,Westside Marauders,Opt,10,2.3,1.6,0.6999999999999997,NA,NA,NA,NA,NA,NA,162,10,0,144,4.22,1.25,0,0,0,0,0,0,0,0,7.1,-2.9
Robbie Ray,SFG,Free Birds,Opt,5,2.3,1.6,0.6999999999999997,NA,NA,NA,NA,NA,NA,174,10,0,176,4.12,1.3,0,0,0,0,0,0,0,0,7.1,2.1
Jeremiah Estrada,SDP,Blue Socks,2,4,2.3,1.6,0.6999999999999997,NA,NA,NA,NA,NA,NA,70,5,1,95,3.29,1.15,0,0,0,0,0,0,0,0,7.1,3.1
Kevin Ginkel,ARI,Westside Marauders,2,2,2.3,1.6,0.6999999999999997,NA,NA,NA,NA,NA,NA,62,4,12,64,3.61,1.28,0,0,0,0,0,0,0,0,7.1,5.1
Victor Vodnik,COL,Louisville Sluggers,2,1,2.3,1.6,0.6999999999999997,NA,NA,NA,NA,NA,NA,64,3,22,62,4.25,1.46,0,0,0,0,0,0,0,0,7.1,6.1
Clayton Beeter,WSN,NA,NA,NA,2.3,1.6,0.6999999999999997,NA,NA,NA,NA,NA,NA,63,3,17,72,3.98,1.36,0,0,0,0,0,0,0,0,7.1,NA
Ke'Bryan Hayes,CIN,Blue Socks,2,11,3.9,3.3,0.6000000000000001,532,10,55,53,11,0.244,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,6.8,-4.2
Braxton Ashcraft,PIT,Big Red Machine,2,1,2.2,1.6,0.6000000000000001,NA,NA,NA,NA,NA,NA,149,8,0,132,3.84,1.28,0,0,0,0,0,0,0,0,6.8,5.8
Ryne Nelson,ARI,Erie Lakers,2,2,2.2,1.6,0.6000000000000001,NA,NA,NA,NA,NA,NA,169,9,0,139,4.09,1.27,0,0,0,0,0,0,0,0,6.8,4.8
Sean Manaea,NYM,NA,NA,NA,2.2,1.6,0.6000000000000001,NA,NA,NA,NA,NA,NA,136,8,0,140,4.2,1.23,0,0,0,0,0,0,0,0,6.8,NA
Hunter Harvey,CHC,NA,NA,NA,2.2,1.6,0.6000000000000001,NA,NA,NA,NA,NA,NA,52,4,5,58,3.09,1.1,0,0,0,0,0,0,0,0,6.8,NA
Ha-Seong Kim,ATL,Free Birds,2,10,3.8,3.3,0.5,413,9,48,42,15,0.244,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,6.5,-3.5
Garrett Mitchell,MIL,Hoosiers,Opt,4,3.8,3.3,0.5,406,10,49,45,14,0.238,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,6.5,2.5
Tyler Freeman,COL,Louisville Sluggers,2,1,3.8,3.3,0.5,357,5,45,34,13,0.274,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,1,6.5,5.5
Andrew Abbott,CIN,Free Birds,2,2,2.1,1.6,0.5,NA,NA,NA,NA,NA,NA,164,9,0,149,4.17,1.27,0,0,0,0,0,0,0,0,6.5,4.5
Braxton Garrett,MIA,NA,NA,NA,2.1,1.6,0.5,NA,NA,NA,NA,NA,NA,129,7,0,112,3.89,1.24,0,0,0,0,0,0,0,0,6.5,NA
Jose Alvarado,PHI,NA,NA,NA,2.1,1.6,0.5,NA,NA,NA,NA,NA,NA,64,5,3,75,3.3,1.24,0,0,0,0,0,0,0,0,6.5,NA
Adrian Morejon,SDP,Free Birds,2,1,2.1,1.6,0.5,NA,NA,NA,NA,NA,NA,68,6,3,69,3.39,1.2,0,0,0,0,0,0,0,0,6.5,5.5
Keibert Ruiz,WSN,NA,NA,NA,2.3,1.9,0.3999999999999999,320,8,30,35,2,0.249,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,6.2,NA
Mitch Keller,PIT,Free Birds,2,6,2,1.6,0.3999999999999999,NA,NA,NA,NA,NA,NA,175,10,0,152,4.19,1.3,0,0,0,0,0,0,0,0,6.2,0.2
David Peterson,NYM,NA,NA,NA,2,1.6,0.3999999999999999,NA,NA,NA,NA,NA,NA,163,9,0,146,3.85,1.35,0,0,0,0,0,0,0,0,6.2,NA
Quinn Priester,MIL,Westside Marauders,2,1,2,1.6,0.3999999999999999,NA,NA,NA,NA,NA,NA,174,10,0,145,4.12,1.31,0,0,0,0,0,0,0,0,6.2,5.2
Dustin May,STL,NA,NA,NA,2,1.6,0.3999999999999999,NA,NA,NA,NA,NA,NA,156,9,0,141,4.17,1.29,0,0,0,0,0,0,0,0,6.2,NA
Luis Rengifo,MIL,NA,NA,NA,3.6,3.3,0.30000000000000027,434,9,45,45,10,0.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA
Bryce Eldridge,SFG,Blue Socks,2,1,3.6,3.3,0.30000000000000027,448,18,45,58,1,0.235,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,5.9,4.9
Luis Campusano,SDP,NA,NA,NA,2.2,1.9,0.30000000000000027,259,8,31,31,1,0.247,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,5.9,NA
Brady Singer,CIN,Erie Lakers,2,2,1.9,1.6,0.2999999999999998,NA,NA,NA,NA,NA,NA,169,10,0,160,4.38,1.3,0,0,0,0,0,0,0,0,5.9,3.9
Michael McGreevy,STL,Louisville Sluggers,2,1,1.9,1.6,0.2999999999999998,NA,NA,NA,NA,NA,NA,144,9,0,100,3.98,1.27,0,0,0,0,0,0,0,0,5.9,4.9
Cade Horton,CHC,Big Red Machine,2,1,1.9,1.6,0.2999999999999998,NA,NA,NA,NA,NA,NA,127,8,0,111,4.12,1.25,0,0,0,0,0,0,0,0,5.9,4.9
Logan Henderson,MIL,Free Birds,2,1,1.9,1.6,0.2999999999999998,NA,NA,NA,NA,NA,NA,105,7,0,106,4.13,1.22,0,0,0,0,0,0,0,0,5.9,4.9
Tanner Scott,LAD,Melonheads,2026,6,1.9,1.6,0.2999999999999998,NA,NA,NA,NA,NA,NA,63,4,4,72,3.47,1.21,0,0,0,0,0,0,0,0,5.9,-0.1
A.J. Puk,ARI,Blue Socks,Opt,3,1.9,1.6,0.2999999999999998,NA,NA,NA,NA,NA,NA,42,3,7,50,3.32,1.17,0,0,0,0,0,0,0,0,5.9,2.9
Mike Yastrzemski,ATL,NA,NA,NA,3.5,3.3,0.20000000000000018,455,16,56,50,4,0.229,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5.6,NA
Edouard Julien,COL,NA,NA,NA,3.5,3.3,0.20000000000000018,434,11,50,43,5,0.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA
Pedro Pages,STL,Big Red Machine,2,1,2.1,1.9,0.20000000000000018,358,10,34,39,1,0.228,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,5.6,4.6
Miguel Amaya,CHC,Free At Last,2,5,2.1,1.9,0.20000000000000018,284,8,30,34,1,0.24,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,5.6,0.6
Clay Holmes,NYM,NA,NA,NA,1.8,1.6,0.19999999999999996,NA,NA,NA,NA,NA,NA,153,10,0,125,3.89,1.37,0,0,0,0,0,0,0,0,5.6,NA
Justin Steele,CHC,Erie Lakers,2027,16,1.8,1.6,0.19999999999999996,NA,NA,NA,NA,NA,NA,81,5,0,76,3.58,1.2,0,0,0,0,0,0,0,0,5.6,-10.4
Orion Kerkering,PHI,NA,NA,NA,1.8,1.6,0.19999999999999996,NA,NA,NA,NA,NA,NA,63,5,1,70,3.48,1.21,0,0,0,0,0,0,0,0,5.6,NA
Michael Soroka,ARI,NA,NA,NA,1.8,1.6,0.19999999999999996,NA,NA,NA,NA,NA,NA,96,6,2,96,4.06,1.26,0,0,0,0,0,0,0,0,5.6,NA
A.J. Minter,NYM,NA,NA,NA,1.8,1.6,0.19999999999999996,NA,NA,NA,NA,NA,NA,56,4,2,63,3.42,1.18,0,0,0,0,0,0,0,0,5.6,NA
Nick Gonzales,PIT,Louisville Sluggers,2,9,3.4,3.3,0.10000000000000009,420,8,46,45,2,0.264,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,5.3,-3.7
Owen Caissie,MIA,Big Red Machine,2,1,3.4,3.3,0.10000000000000009,413,13,48,48,4,0.24,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5.3,4.3
Pavin Smith,ARI,Big Red Machine,2,4,3.4,3.3,0.10000000000000009,455,13,52,52,3,0.237,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,5.3,1.3
Pavin Smith,ARI,Big Red Machine,2,4,3.4,3.3,0.10000000000000009,455,13,52,52,3,0.237,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,5.3,1.3
Spencer Steer,CIN,Westside Marauders,2,14,3.4,3.3,0.10000000000000009,378,13,44,47,6,0.236,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,5.3,-8.7
Bubba Chandler,PIT,Big Red Machine,2,4,1.7,1.6,0.09999999999999987,NA,NA,NA,NA,NA,NA,147,8,0,135,4.12,1.33,0,0,0,0,0,0,0,0,5.3,1.3
Foster Griffin,WSN,NA,NA,NA,1.7,1.6,0.09999999999999987,NA,NA,NA,NA,NA,NA,128,7,0,115,4.1,1.27,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA
Roki Sasaki,LAD,Free At Last,2,14,1.7,1.6,0.09999999999999987,NA,NA,NA,NA,NA,NA,123,7,0,129,4.16,1.29,0,0,0,0,0,0,0,0,5.3,-8.7
Jameson Taillon,CHC,Westside Marauders,2,4,1.7,1.6,0.09999999999999987,NA,NA,NA,NA,NA,NA,153,9,0,118,4.4,1.25,0,0,0,0,0,0,0,0,5.3,1.3
Chad Patrick,MIL,NA,NA,NA,1.7,1.6,0.09999999999999987,NA,NA,NA,NA,NA,NA,140,8,0,131,4.41,1.27,0,0,0,0,0,0,0,0,5.3,NA
Landen Roupp,SFG,Hoosiers,2,1,1.7,1.6,0.09999999999999987,NA,NA,NA,NA,NA,NA,128,8,0,120,3.95,1.34,0,0,0,0,0,0,0,0,5.3,4.3
Kodai Senga,NYM,NA,NA,NA,1.7,1.6,0.09999999999999987,NA,NA,NA,NA,NA,NA,119,7,0,119,3.86,1.32,0,0,0,0,0,0,0,0,5.3,NA
Tyler Mahle,SFG,NA,NA,NA,1.7,1.6,0.09999999999999987,NA,NA,NA,NA,NA,NA,137,8,0,113,4.05,1.29,0,0,0,0,0,0,0,0,5.3,NA
Alex Vesia,LAD,Free Birds,2,1,1.7,1.6,0.09999999999999987,NA,NA,NA,NA,NA,NA,61,4,1,77,3.55,1.19,0,0,0,0,0,0,0,0,5.3,4.3
Caleb Thielbar,CHC,NA,NA,NA,1.7,1.6,0.09999999999999987,NA,NA,NA,NA,NA,NA,66,5,1,69,3.63,1.21,0,0,0,0,0,0,0,0,5.3,NA
Phil Maton,CHC,NA,NA,NA,1.7,1.6,0.09999999999999987,NA,NA,NA,NA,NA,NA,65,4,4,67,3.76,1.23,0,0,0,0,0,0,0,0,5.3,NA
Alek Thomas,ARI,Free Birds,2,1,3.3,3.3,0,420,10,47,45,7,0.243,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,4
Carson Benge,NYM,NA,NA,NA,3.3,3.3,0,392,9,50,44,8,0.241,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,5,NA
Jose Trevino,CIN,NA,NA,NA,1.9,1.9,0,282,7,29,29,1,0.24,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,5,NA
Joey Bart,PIT,Westside Marauders,2,1,1.9,1.9,0,301,7,32,31,1,0.238,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,5,4
Henry Davis,PIT,NA,NA,NA,1.9,1.9,0,282,8,31,30,4,0.224,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,5,NA
Matthew Liberatore,STL,National Pastime,2,1,1.6,1.6,0,NA,NA,NA,NA,NA,NA,150,9,0,125,4.22,1.31,0,0,0,0,0,0,0,0,5,4
Dylan Lee,ATL,NA,NA,NA,1.6,1.6,0,NA,NA,NA,NA,NA,NA,65,3,1,73,3.55,1.17,0,0,0,0,0,0,0,0,5,NA
Luke Weaver,NYM,NA,NA,NA,1.6,1.6,0,NA,NA,NA,NA,NA,NA,67,4,4,73,4,1.24,0,0,0,0,0,0,0,0,5,NA
Jake Mangum,PIT,NA,NA,NA,3.2,3.3,-0.09999999999999964,315,3,32,30,12,0.282,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,4.7,NA
Braxton Fulford,COL,NA,NA,NA,1.8,1.9,-0.09999999999999987,205,6,24,25,2,0.244,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,4.7,NA
Liam Hicks,MIA,Free Birds,2,1,1.8,1.9,-0.09999999999999987,305,4,30,29,2,0.244,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,0,4.7,3.7
Max Meyer,MIA,Hoosiers,2,1,1.5,1.6,-0.10000000000000009,NA,NA,NA,NA,NA,NA,137,8,0,123,4.24,1.32,0,0,0,0,0,0,0,0,4.7,3.7
Jared Koenig,MIL,NA,NA,NA,1.5,1.6,-0.10000000000000009,NA,NA,NA,NA,NA,NA,65,4,1,66,3.55,1.23,0,0,0,0,0,0,0,0,4.7,NA
Matt Svanson,STL,NA,NA,NA,1.5,1.6,-0.10000000000000009,NA,NA,NA,NA,NA,NA,65,3,6,59,3.8,1.3,0,0,0,0,0,0,0,0,4.7,NA
Jacob Young,WSN,NA,NA,NA,3.1,3.3,-0.19999999999999973,350,3,40,30,18,0.251,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,4.4,NA
Jared Jones,PIT,Hoosiers,Opt,1,1.4,1.6,-0.20000000000000018,NA,NA,NA,NA,NA,NA,88,5,0,86,3.96,1.28,0,0,0,0,0,0,0,0,4.4,3.4
Gregory Soto,PIT,NA,NA,NA,1.4,1.6,-0.20000000000000018,NA,NA,NA,NA,NA,NA,61,3,4,66,3.69,1.3,0,0,0,0,0,0,0,0,4.4,NA
Erik Miller,SFG,NA,NA,NA,1.4,1.6,-0.20000000000000018,NA,NA,NA,NA,NA,NA,62,4,4,67,3.6,1.38,0,0,0,0,0,0,0,0,4.4,NA
Drey Jameson,ARI,NA,NA,NA,1.4,1.6,-0.20000000000000018,NA,NA,NA,NA,NA,NA,59,4,5,55,3.88,1.33,0,0,0,0,0,0,0,0,4.4,NA
JJ Bleday,CIN,NA,NA,NA,3,3.3,-0.2999999999999998,336,14,42,43,2,0.23,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,4.1,NA
Luis Torrens,NYM,Free At Last,2,1,1.6,1.9,-0.2999999999999998,218,6,21,24,1,0.244,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,4.1,3.1
Joe Mack,MIA,NA,NA,NA,1.6,1.9,-0.2999999999999998,263,8,29,30,2,0.219,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,4.1,NA
Harry Ford,WSN,NA,NA,NA,1.6,1.9,-0.2999999999999998,238,5,28,24,4,0.232,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,4.1,NA
Yohel Pozo,STL,NA,NA,NA,1.6,1.9,-0.2999999999999998,167,5,17,21,1,0.264,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,4.1,NA
Grant Holmes,ATL,Big Red Machine,2,5,1.3,1.6,-0.30000000000000004,NA,NA,NA,NA,NA,NA,116,7,0,111,4.16,1.35,0,0,0,0,0,0,0,0,4.1,-0.9
Robert Gasser,MIL,NA,NA,NA,1.3,1.6,-0.30000000000000004,NA,NA,NA,NA,NA,NA,84,5,0,78,4.06,1.26,0,0,0,0,0,0,0,0,4.1,NA
Graham Ashcraft,CIN,NA,NA,NA,1.3,1.6,-0.30000000000000004,NA,NA,NA,NA,NA,NA,65,5,2,59,3.88,1.29,0,0,0,0,0,0,0,0,4.1,NA
Blake Treinen,LAD,NA,NA,NA,1.3,1.6,-0.30000000000000004,NA,NA,NA,NA,NA,NA,58,5,1,65,3.94,1.28,0,0,0,0,0,0,0,0,4.1,NA
Sam Hentges,SFG,NA,NA,NA,1.3,1.6,-0.30000000000000004,NA,NA,NA,NA,NA,NA,54,3,0,53,3.28,1.22,0,0,0,0,0,0,0,0,4.1,NA
Jason Adam,SDP,Free Birds,2,5,1.3,1.6,-0.30000000000000004,NA,NA,NA,NA,NA,NA,51,3,0,54,3.52,1.19,0,0,0,0,0,0,0,0,4.1,-0.9
Paul Sewald,ARI,NA,NA,NA,1.3,1.6,-0.30000000000000004,NA,NA,NA,NA,NA,NA,58,3,8,57,4.53,1.26,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA
Jordan Lawlar,ARI,Westside Marauders,2,2,2.9,3.3,-0.3999999999999999,329,7,40,35,12,0.237,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,1,1,3.8,1.8
Nasim Nunez,WSN,NA,NA,NA,2.9,3.3,-0.3999999999999999,315,3,36,26,24,0.227,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,3.8,NA
Troy Johnston,COL,Louisville Sluggers,2,1,2.9,3.3,-0.3999999999999999,273,7,31,33,8,0.262,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,3.8,2.8
Cade Cavalli,WSN,Hoosiers,2,1,1.2,1.6,-0.40000000000000013,NA,NA,NA,NA,NA,NA,135,7,0,115,4.2,1.33,0,0,0,0,0,0,0,0,3.8,2.8
Eduardo Rodriguez,ARI,NA,NA,NA,1.2,1.6,-0.40000000000000013,NA,NA,NA,NA,NA,NA,124,8,0,110,4.24,1.36,0,0,0,0,0,0,0,0,3.8,NA
Brooks Raley,NYM,NA,NA,NA,1.2,1.6,-0.40000000000000013,NA,NA,NA,NA,NA,NA,62,3,1,61,3.81,1.23,0,0,0,0,0,0,0,0,3.8,NA
Cole Henry,WSN,NA,NA,NA,1.2,1.6,-0.40000000000000013,NA,NA,NA,NA,NA,NA,64,2,16,60,4.94,1.46,0,0,0,0,0,0,0,0,3.8,NA
Thomas Saggese,STL,Westside Marauders,2,1,2.8,3.3,-0.5,371,8,40,39,4,0.249,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1,1,3.6,2.6
Jake Bauers,MIL,NA,NA,NA,2.8,3.3,-0.5,315,13,37,38,8,0.216,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,3.6,NA
Carmen Mlodzinski,PIT,NA,NA,NA,1.1,1.6,-0.5,NA,NA,NA,NA,NA,NA,68,4,0,60,3.73,1.3,0,0,0,0,0,0,0,0,3.6,NA
Brusdar Graterol,LAD,NA,NA,NA,1.1,1.6,-0.5,NA,NA,NA,NA,NA,NA,55,3,0,47,3.54,1.21,0,0,0,0,0,0,0,0,3.6,NA
Aaron Bummer,ATL,NA,NA,NA,1.1,1.6,-0.5,NA,NA,NA,NA,NA,NA,60,4,0,62,3.57,1.32,0,0,0,0,0,0,0,0,3.6,NA
Aaron Ashby,MIL,NA,NA,NA,1.1,1.6,-0.5,NA,NA,NA,NA,NA,NA,64,4,1,67,3.72,1.37,0,0,0,0,0,0,0,0,3.6,NA
Andrew Nardi,MIA,NA,NA,NA,1.1,1.6,-0.5,NA,NA,NA,NA,NA,NA,56,3,0,67,3.71,1.26,0,0,0,0,0,0,0,0,3.6,NA
Mason Montgomery,PIT,NA,NA,NA,1.1,1.6,-0.5,NA,NA,NA,NA,NA,NA,60,3,2,63,3.87,1.31,0,0,0,0,0,0,0,0,3.6,NA
Calvin Faucher,MIA,Blue Socks,2,3,1.1,1.6,-0.5,NA,NA,NA,NA,NA,NA,64,3,5,64,4,1.38,0,0,0,0,0,0,0,0,3.6,0.6
Angel Zerpa,MIL,NA,NA,NA,1.1,1.6,-0.5,NA,NA,NA,NA,NA,NA,60,3,0,57,3.61,1.25,0,0,0,0,0,0,0,0,3.6,NA
Julian Fernandez,WSN,NA,NA,NA,1.1,1.6,-0.5,NA,NA,NA,NA,NA,NA,59,3,2,59,3.96,1.28,0,0,0,0,0,0,0,0,3.6,NA
Julian Fernandez,WSN,NA,NA,NA,1.1,1.6,-0.5,NA,NA,NA,NA,NA,NA,59,3,2,59,3.96,1.28,0,0,0,1,0,0,1,0,3.6,NA
Anthony Bender,MIA,Melonheads,2,1,1.1,1.6,-0.5,NA,NA,NA,NA,NA,NA,61,4,1,58,3.91,1.3,0,0,0,0,0,0,0,0,3.6,2.6
Christopher Morel,MIA,NA,NA,NA,2.7,3.3,-0.5999999999999996,315,13,37,39,6,0.223,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1,1,3.3,NA
Dalton Rushing,LAD,Blue Socks,2,3,1.3,1.9,-0.5999999999999999,169,6,21,22,1,0.228,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,3.3,0.3
Kyle Leahy,STL,NA,NA,NA,1,1.6,-0.6000000000000001,NA,NA,NA,NA,NA,NA,132,6,0,108,4.19,1.35,0,0,0,0,0,0,0,0,3.3,NA
Kyle Harrison,MIL,NA,NA,NA,1,1.6,-0.6000000000000001,NA,NA,NA,NA,NA,NA,89,5,0,89,4.25,1.32,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA
Corbin Burnes,ARI,Hoosiers,2,27,1,1.6,-0.6000000000000001,NA,NA,NA,NA,NA,NA,39,3,0,37,3.51,1.21,0,0,0,0,0,0,0,0,3.3,-23.7
JP Sears,SDP,NA,NA,NA,1,1.6,-0.6000000000000001,NA,NA,NA,NA,NA,NA,128,7,0,110,4.67,1.27,0,0,0,0,0,0,0,0,3.3,NA
Tony Santillan,CIN,Erie Lakers,2,1,1,1.6,-0.6000000000000001,NA,NA,NA,NA,NA,NA,70,3,4,73,4.27,1.34,0,0,0,0,0,0,0,0,3.3,2.3
Tyler Kinley,ATL,NA,NA,NA,1,1.6,-0.6000000000000001,NA,NA,NA,NA,NA,NA,63,4,0,70,4.02,1.29,0,0,0,0,0,0,0,0,3.3,NA
Tanner Banks,PHI,NA,NA,NA,1,1.6,-0.6000000000000001,NA,NA,NA,NA,NA,NA,62,3,0,58,3.85,1.23,0,0,0,0,0,0,0,0,3.3,NA
Ben Brown,CHC,Free At Last,2,1,1,1.6,-0.6000000000000001,NA,NA,NA,NA,NA,NA,49,3,0,55,3.75,1.2,0,0,0,0,0,0,0,0,3.3,2.3
Ryan Thompson,ARI,NA,NA,NA,1,1.6,-0.6000000000000001,NA,NA,NA,NA,NA,NA,64,4,1,52,3.81,1.3,0,0,0,0,0,0,0,0,3.3,NA
Jose Butto,SFG,NA,NA,NA,1,1.6,-0.6000000000000001,NA,NA,NA,NA,NA,NA,61,3,2,56,3.89,1.31,0,0,0,0,0,0,0,0,3.3,NA
Sean Murphy,ATL,Big Red Machine,2,12,2.6,3.3,-0.6999999999999997,348,15,39,43,0,0.221,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3,-9
Adrian Del Castillo,ARI,NA,NA,NA,1.2,1.9,-0.7,172,5,18,20,1,0.231,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,3,NA
Adrian Houser,SFG,NA,NA,NA,0.9,1.6,-0.7000000000000001,NA,NA,NA,NA,NA,NA,147,8,0,105,4.23,1.38,0,0,0,0,0,0,0,0,3,NA
Robby Snelling,MIA,NA,NA,NA,0.9,1.6,-0.7000000000000001,NA,NA,NA,NA,NA,NA,86,5,0,74,4.03,1.34,0,0,0,0,0,0,0,0,3,NA
Janson Junk,MIA,NA,NA,NA,0.9,1.6,-0.7000000000000001,NA,NA,NA,NA,NA,NA,95,5,0,69,4.34,1.27,0,0,0,0,0,0,0,0,3,NA
